开标时间,开标地点,项目名称,政府采购计划编号,项目负责人,联系电话,采购方式,采购预算,投标截止时间,采购地址,采购代理地址,采购联系人,采购代理联系人,采购电话,采购代理电话
2020年05月06日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室。,湖南省农药风险监测能力建设,湘财采计[2020]000362号,左丽、朱明丽,85163966,公开招标,"4,250,000元",2020年05月06日 10:00,湖南省长沙市教育街66号,湖南省长沙市芙蓉区车站北路459号(烈士公园东门南侧)湖南证券大厦六层,刘春来 ,左丽、朱明丽 ,0731-82569857,0731-85163966  
2020年05月07日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）指定开标室。,2020年度国家级非遗代表性传承人记录,湘财采计[2020]000300号,李正达,0731-84514487,公开招标,"4,000,000元",2020年05月07日 10:00,长沙市天心区杉木冲西路69号,长沙市湘府东路二段199号招标大厦,刘隽 ,李开银、李正达 ,85286171,0731-84514487 
2020年05月06日 10:00,衡阳市公共资源交易中心（具体详见交易中心大厅公示）,湖南工学院中央财政第三批（工训中心、材化学院）重新立项,湘财采计[2019]013604号,覃峰,18273495569,公开招标,"625,800元",2020年05月06日 10:00,湖南省衡阳市珠晖区衡花路18号,长沙市天心区友谊路413号运成大厦12楼,黄煜 ,陈景  邓美玉 ,0734—3452029,18973166718 
2020年05月07日 10:00,湖南省公共资源交易中心（万家丽南路二段29号）,湖南省博物馆2020年特展宣传推广,湘财采计[2020]000349号,沈梦、聂艳君,0731-84169657,公开招标,"1,170,000元",2020年05月07日 10:00,长沙市东风路50号,长沙市雨花区湘府中路117号高升金典商务楼房12层,申国辉 ,沈梦、聂艳君、粟智超 ,84535566-8411,0731-84169657 
2020年05月08日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,水土保持遥感图斑现场复核,湘财采计[2019]016425号,余群,0731-85519161,公开招标,"2,000,000元",2020年05月08日 10:00,湖南省长沙市雨花区韶山北路370号,湖南省长沙市雨花区劳动西路528号现代华都家园5栋1101房,邓娟娟 ,刘先生、余女士 ,0731-85483383、0731-85483148,0731-85519161 
2020年05月08日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）详见当天电子显示屏,省教育督导网络平台、学籍系统、中职招生信息平台技术服务,湘财采计[2020]000353号,冉光玲,0731-82293870,公开招标,"1,050,000元",2020年05月08日 10:00,新建西路77号,长沙市雨花区迎新路御溪国际3栋2440,吴清昊 ,冉光玲、王璜 ,84729708,0731-82293870 
2020年05月06日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室.,2020年高速公路项目竣工验收质量检测技术服务,湘财采计[2020]000337号,刘卓,18975854151,公开招标,"2,801,600元",2020年05月06日 10:00,长沙市雨花区万家丽南路一段1号（天际岭隧道南）,湖南省长沙市雨花区劳动西路528号现代华都家园5栋1101房,黄女士 ,刘先生、余女士 ,0731-85887028,0731-85519161 
2020年05月07日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室.,2020年公路水运工程建设项目质量监督抽检技术服务,湘财采计[2020]000336号,刘卓,18975854151,公开招标,"2,400,000元",2020年05月07日 10:00,长沙市雨花区万家丽南路一段1号（天际岭隧道南）,湖南省长沙市雨花区劳动西路528号现代华都家园5栋1101房,黄女士 ,刘先生、余女士 ,0731-85887028,0731-85519161 
2020年05月07日 09:00,湖南省公共资源交易中心,2020年图书采购,湘财采计[2020]000223号,陈方,0746-6383316,公开招标,1600000元,2020年05月07日 09:00,永州市零陵区杨梓塘路130号,长沙市雨花区万家丽路二段29号,陈方 ,李中华,0746-6383316 ,89665046 
2020年05月07日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）4开标室，详见当天电子显示屏。,网络安全服务,湘财采计[2020]000291号,陈耀家、王辉,0731-82293871,公开招标,"2,235,600元",2020年05月07日 10:00,长沙市五一大道352号,长沙市雨花区迎新路御溪国际3栋2440,赵昊 ,陈耀家、王辉 ,0731-82212513,0731-82293871 
2020年04月30日 09:00,湖南省公共资源交易中心指定开标室（长沙市万家丽南路二段29号）。,湖南省民政厅民政数字展示中心,湘财采计[2020]000366号,崔鹏,0731-84405538,公开招标,"4,083,407.12元",2020年04月30日 09:00,长沙市东风路276号,长沙市雨花区时代阳光大道西388号轻盐雅苑第一栋10层1011室,孙冰 ,崔鹏  夏芳  张维 ,84502027,0731-84405538 
2020年04月30日 09:00,湖南省公共资源交易中心,湖南省人民政府机关物业管理服务,湘财采计[2020]000317号,向海燕,89990081,公开招标,63389270.73元,2020年04月30日 09:00,湖南省长沙市天心区湘府西路8号,长沙市雨花区万家丽路二段29号,向海燕 ,李春林,89990081 ,89665210 
2020年05月06日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号），详见当天电子显示屏,2020文化馆建设公共数字文化资源采购,湘财采计[2020]000299号,任远,18774896621,公开招标,"3,000,000元",2020年05月06日 10:00,长沙市天心区杉木冲西路69号,长沙高新开发区麓谷大道627号麓谷新长海中心A1栋1102号,刘隽 ,李谦、何芳、任远 ,0731-85286171,13574170349 
2020年05月06日 09:00,湖南省公共资源交易中心,2020年中央财政新校区校园网核心设备采购,湘财采计[2020]000127号,长沙师范学院,84036160,公开招标,2385000元,2020年05月06日 09:00,湖南省长沙县安沙镇长沙师范学院北校区,长沙市雨花区万家丽路二段29号,长沙师范学院 ,李中华,84036160 ,89665046 
2020年04月30日 09:00,湖南省公共资源交易中心,南院宿舍、德智园学生宿舍物业管理服务,湘财采计[2020]000029号,采购人龙群,073188872091,公开招标,1870000元,2020年04月30日 09:00,湖南师范大学,长沙市雨花区万家丽路二段29号,采购人龙群 ,李春林,073188872091 ,89665210 
2020年05月07日 09:00,湘潭市公共资源交易中心开标室（湘潭市岳塘区芙蓉路广电中心西侧尚玲珑小区A栋2楼）,自建学生宿舍热水系统提质改造设备设施采购与安装,湘财采计[2020]000255号,罗赞,17726139815,公开招标,"1,507,282.8元",2020年05月07日 09:00,湖南省湘潭市桃园路湖南科技大学后勤处,湘潭市岳塘区书院路三建兴城大厦10楼（湘潭分公司),阳建文 ,罗赞 ,0731-58290290,0731-84315268 
2020年04月30日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）,执法服务站建设,湘财采计[2019]010099号,朱强,0731-82204733,公开招标,"747,922.8元",2020年04月30日 10:00,湖南省长沙市长沙县星沙街道星沙东十路6号,长沙市芙蓉中路二段144号城市之心7楼718室,段灿、刘亮  ,刘莎  ,0731-84068180,0731-82204733 
2020年04月29日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）。,视频综合管控平台前端设备建设,湘财采计[2019]010098号,刘莎,0731-82204733,公开招标,"677,556元",2020年04月29日 10:00,湖南省长沙市长沙县星沙街道星沙东十路6号,长沙市芙蓉中路二段144号城市之心7楼718室,段灿、刘亮 ,刘莎 ,0731-84068180,0731-82204733 
2020年04月30日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号），详见当天电子显示屏,湖南省统计局机房基础环境整体运维服务招标,湘财采计[2020]000290号,冉光玲、王璜,0731-82293870,公开招标,"4,418,868元",2020年04月30日 10:00,长沙市五一大道352号,长沙市雨花区迎新路御溪国际3栋2440,赵昊 ,冉光玲、王璜 ,82212513,82293870 
2020年04月29日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,湖南省2020年直播卫星户户通接收设备招标,湘财采计[2020]000315号,李伟,0731-84530088,公开招标,"30,000,000元",2020年04月29日 10:00,长沙市金鹰影视文化城安居路（机关北院）,长沙市湘府东路二段199号招标大厦,唐先生 ,李伟  谭娜 ,0731-84801442,0731-84530088/84530333 
2020年04月29日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,湖南福彩大家乐营销活动运作服务项目,湘财采计[2020]000258号,余欣怡,0731-85718371,公开招标,"2,742,700元",2020年04月29日 10:00,湖南省长沙市开福区湘福路9号,湖南省长沙市岳麓区银盆岭街道岳麓大道57号奥克斯广场2栋24楼24008房,龚毅 ,余欣怡 ,89735641,0731-85718371 
2020年04月29日 09:00,湖南省公共资源交易中心（长沙市雨花区万家丽路二段29号，天际岭隧道南），具体标室请看当天显示屏,2020年省质检院检验检测能力提升重新立项,湘财采计[2020]000093号,宁利,0731-85404616,公开招标,"2,697,000元",2020年04月29日 09:00,长沙市新建西路189号,长沙市开福区新河街道晴岚路68号北辰凤凰天阶苑B1E1区10025房,邹若红 ,王帅 ,0731-89775219,0731-85404616 
2020年04月30日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室。,娄底高速交通安全视频综合管控平台前端设备和执法服务站建设项目,湘财采计[2019]009644号,孙慧,15111006607,公开招标,"1,006,782.2元",2020年04月30日 10:00,湖南省娄底市娄星区湘中大道215号,长沙高新开发区枫林三路238号梅溪湖畔华苑2栋2011房,曾卫良 ,孙慧 ,17707382298,0731-89819668 
2020年04月29日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,全国农作物病虫疫情监测湖南分中心监测点仪器设备及田间配套工程,湘财采计[2019]013469号,左丽,0731-82038189,公开招标,"3,750,000元",2020年04月29日 09:00,长沙市岳麓区枫林路一路9号,湖南省长沙市芙蓉区车站北路459号(烈士公园东门南侧)湖南证券大厦六层,邓先超 ,左丽、朱明丽 ,0731-84453021,0731-82038189 
2020年04月28日 09:30,郴州市市民服务中心4楼市公共资源交易中心第二开标室,北湖校区医学设备采购(第二次）,湘财采计[2019]017264号,田先生,13135351567,公开招标,"1,430,000元",2020年04月28日 09:30,湖南省郴州市郴州大道889号   ,郴州市青年大道与香雪路交汇处玫瑰园12栋201房（东坡岭隧道口旁）,陈宣吟 ,田先生 ,0735-2653222,13135351567 
2020年04月28日 10:30,益阳市公共资源交易中心（迎宾东路355号中南电子商务产业园3#楼二层）,教务管理信息系统升级,湘财采计[2020]000318号,孙跃群,13017375599,公开招标,"1,355,000元",2020年04月28日 10:30,益阳市赫山区迎宾东路518号,益阳市益阳大道东123号,张大勇 ,孙跃群 ,0737-111023,0737-6206391 
2020年04月27日 09:00,湖南省公共资源交易中心,2020年高致病性禽流感三价灭活疫苗采购,湘财采计[2020]000079号,谭运华,85518938,公开招标,54642000元,2020年04月27日 09:00,湖南省长沙市岳麓区潇湘中路61号,长沙市雨花区万家丽路二段29号,谭运华 ,李春林,85518938 ,89665210 
2020年04月26日 09:00,湖南省公共资源交易中心,2020年牛羊口蹄疫O型灭活疫苗采购,湘财采计[2020]000080号,谭运华,85518938,公开招标,15744000元,2020年04月26日 09:00,湖南省长沙市岳麓区潇湘中路61号,长沙市雨花区万家丽路二段29号,谭运华 ,李春林,85518938 ,89665210 
2020年04月26日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,学考处2020-2022年学考合格性考试网评服务,湘财采计[2020]000235号,简畅,073185561661,公开招标,"4,500,000元",2020年04月26日 09:00,湖南省长沙市岳麓区潇湘中路271号,湖南省长沙市岳麓区望岳街道谷丰中路209号荣泰广场3栋12楼1234房,李欣桥 ,简畅 ,0731-88090210,13974839424 
2020年04月24日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,自考处2020年自考考籍证制作,湘财采计[2020]000236号,简畅,0731-85561661,公开招标,"1,000,000元",2020年04月24日 09:00,湖南省长沙市岳麓区潇湘中路271号,湖南省长沙市岳麓区望岳街道谷丰中路209号荣泰广场3栋12楼1234房,周老师 ,简畅 ,0731-88090240,13974839424 
2020年04月24日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）,住房公积金综合服务平台运营服务,湘财采计[2020]000201号,孙煜,0731-85161719,公开招标,"33,900,000元",2020年04月24日 09:00,湖南省长沙市雨花区高升路266号,长沙市天心区书院路9号保利国际中心B3栋18楼1801室,陈笑 ,孙煜、罗婷 ,0731-88950112,0731-85161719 
2020年04月28日 10:00,衡阳市公共资源交易中心二楼2号开标室,南华大学医学研究实验中心平台建设设施改造服务项目,湘财采计[2020]000090号,张建怀,13786443020,公开招标,"10,848,153.79元",供应商必须登录衡阳市公共资源交易网，须在报名截止时间前报名确认并成功下载招标文件（以投标截止时间止衡阳市公共资源交易网查询显示的下载文件单位为准），否则，视同报名不成功，其投标无效。,衡阳市常胜西路28号,衡阳市高新技术开发区芙蓉路58号愉景南苑11栋写字楼科创智谷3008室,陈老师   杨老师 ,张建怀 ,0734-8281905,0734-8439857 
2020年04月27日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,湖南省统一电子印章服务平台,湘财采计[2020]000226号,蒋婷,0731-85058982,公开招标,"3,910,000元",2020年04月27日 10:00,湖南省长沙市五一大道351号省人民政府机关二院6办公楼,长沙市岳麓区潇湘南路1段208号柏宁地王广场南栋1212室,周婧 ,蒋婷 ,0731-82212160,0731-85058982 
2020年04月24日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,湖南省“互联网+政务服务”一体化平台迭代升级,湘财采计[2020]000225号,蒋婷,0731-85058982,公开招标,"15,404,192元",2020年04月24日 10:00,湖南省长沙市五一大道351号省人民政府机关二院6办公楼,长沙市岳麓区潇湘南路1段208号柏宁地王广场南栋1212室,周婧 ,蒋婷 ,0731-82212160,0731-85058982 
2020年04月27日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,湖南省“互联网+政务服务”一体化平台迭代升级监理,湘财采计[2020]000227号,蒋婷,0731-85058982,公开招标,"343,800元",2020年04月27日 09:00,湖南省长沙市五一大道351号省人民政府机关二院6办公楼,长沙市岳麓区潇湘南路1段208号柏宁地王广场南栋1212室,周婧 ,蒋婷 ,0731-82212160,0731-85058982 
2020年04月24日 09:00,湖南省公共资源交易中心,2020年牛羊口蹄疫O型-A型灭活疫苗采购,湘财采计[2020]000081号,谭运华,85518938,公开招标,860000元,2020年04月24日 09:00,湖南省长沙市岳麓区潇湘中路61号,长沙市雨花区万家丽路二段29号,谭运华 ,李中华,85518938 ,89665046 
2020年04月24日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,应急管理视频会商系统采购项目重新立项,湘财采计[2019]014572号,李清,0731-85058782,公开招标,"2,946,753.67元",2020年04月24日 10:00,长沙市雨花区马王堆南路80号,长沙市岳麓区潇湘南路1段208号柏宁地王广场南栋1212室,夏坚 ,李清 ,0731-89751306,0731-85058782 
2020年04月24日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,湖南省危险化学品安全生产风险监测预警系统采购项目重新立项,湘财采计[2019]014573号,左丽,82038189,公开招标,"3,256,170元",2020年04月24日 09:00,湖南省长沙市雨花区马王堆南路80号,湖南省长沙市芙蓉区车站北路459号(烈士公园东门南侧)湖南证券大厦六层,郭华 ,左丽、朱明丽 ,0731-89751297,0731-82038189 
2020年04月28日 09:30,常德市公共资源交易中心第 四 开标室（常德市朗州北路与月亮大道交汇处市民之家东部）,汉寿县人民法院机关物业服务采购,湘财采计[2020]000285号,宋欣霖,0736-2200776,公开招标,"3,196,958.31元",2020年04月28日 09:30,汉寿县龙阳镇S205西侧,湖南岳阳,常丰 ,宋欣霖 ,13707362298,0730-2200776 
2020年04月26日 09:30,永州市公共资源交易中心相应开标室,东安监狱2020年罪犯生活物资（肉类）采购,湘财采计[2020]000174号,欧建斌,18188924577,公开招标,"1,958,800元",2020年04月26日 09:30,永州市东安县新城区青土坪,冷水滩区育才路安大公馆2栋2层203室,禹云环 ,韩雪勇 ,0746-4231721,15869987708 
2020年04月23日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）开标室详见当天电子显示屏 ,长沙理工大学2020年教学科研设备购置（第三批）,湘财采计[2020]000192号,刘香,0731-84867212,公开招标,"3,049,500元",2020年04月23日 09:00,长沙市天心区万家丽南路二段960号,长沙市天心区竹塘西路滑油塘76号西侧一栋3楼,刘老师 ,刘香、熊盼 ,0731-85258555,0731-84867212   84118125 
2020年04月22日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室。,湖南省本级高水平体育后备人才基地器材采购项目,湘财采计[2020]000214号,李清,0731-85058782,公开招标,"5,400,000元",2020年04月22日 10:00,湖南省长沙市体育馆路36号,长沙市岳麓区潇湘南路1段208号柏宁地王广场南栋1212室,李燕华 ,李清 ,0731-84555117,0731-85058782 
2020年04月21日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,森林消防局机动支队六大队综合救援建设项目,湘财采计[2020]000137号,左丽,0731-82038189,公开招标,"2,746,715元",2020年04月21日 09:00,湖南省长沙市雨花区马王堆南路80号,湖南省长沙市芙蓉区车站北路459号(烈士公园东门南侧)湖南证券大厦六层,周杨 ,左丽、朱明丽 ,0731-89751240,0731-82038189 
2020年04月22日 09:00,湖南省公共资源交易中心（长沙市雨花区万家丽路二段29号，天际岭隧道南），具体标室请看当天显示屏,湖南省京剧保护传承中心剧场舞台设备购置及安装,湘财采计[2020]000067号,陈亚峰,18073123281,公开招标,"6,001,270.39元",2020年04月22日 09:00,长沙市人民中路259号,长沙市开福区万达广场C1座写字楼2301室,李子冬 ,陈亚峰 ,85161698,18837125198 
2020年04月20日 09:00,湖南省公共资源交易中心开标室（长沙市雨花区万家丽路二段29号，详见当天电子显示屏）,韶山革命纪念地重要执勤目标“智慧磐石”建设项目,湘财采计[2020]000109号,王学海,15581600098,公开招标,"3,100,000元",2020年04月20日 09:00,韶山市韶山冲3号,长沙市芙蓉区东二环一段1139（湖南国际商务中心二楼）,张旭 ,田甜、王学海 ,0731-55685071,0731-844447300转5028  15581600098 
2020年04月17日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）。    ,“湖南教育大平台”云基础设施租赁,湘财采计[2020]000187号,何绍基,19892853989,公开招标,"2,000,000元",2020年04月17日 09:00,长沙市新建西路77号,长沙市芙蓉区东二环一段1139湖南国际商务中心5楼,汤先生 ,何先生、曹女士、鞠女士、贺先生 ,82191097,0731-84447300转5328 
2020年04月17日 09:00,长沙市雨花区万家丽路二段29号（天际岭隧道南湖南省公共资源交易中心，详见当天电子显示屏）,长沙理工大学2019年教学科研设备购置（第三十一批）,湘财采计[2020]000043号,王明秋,0731-84284413,公开招标,"2,874,900元",2020年04月17日 09:00,长沙市万家丽南路,长沙市晚报大道湘诚时速风标501室/怡程大酒店旁,刘老师 ,王明秋、唐捷杰 ,85258555,0731-84284413、84284403 
2020年04月17日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）12开标室，详见当天电子显示屏。,执法服务站建设重新立项,湘财采计[2019]010785号,陈耀家、王辉,0731-82293871,公开招标,"998,000元",2020年04月17日 10:00,郴州市北湖区国庆南路417号,长沙市雨花区迎新路御溪国际3栋2440号,曹慧文 ,陈耀家、王辉 ,18173566909,0731-82293871 
2020年04月17日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）,国家水资源监控能力建设饮用水源地水质在线站运行维护,湘财采计[2020]000155号,蔡伟,0731-82587018,公开招标,"5,800,000元",2020年04月17日 09:00,长沙市韶山北路370号,湖南省长沙市芙蓉区解放中路18号华侨大厦19楼H 座,尹建国 ,蔡伟 ,0731-85486186,0731-82587018 
2020年04月16日 09:00,长沙市雨花区万家丽路二段29号（天际岭隧道南湖南省公共资源交易中心，详见当天电子显示屏）,湘潭大学材料学院搬迁教学设备采购,湘财采计[2020]000198号,王明秋,0731-84284413,公开招标,"4,590,000元",2020年04月16日 09:00,湘潭市,长沙市晚报大道湘诚时速风标501室/怡程大酒店旁,周老师 ,王明秋、唐捷杰 ,58292065,0731-84284413、84284403（财务） 
2020年04月16日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,湖南省妇幼保健院国家卫健委出生缺陷研究与预防重点实验室设备购置,湘财采计[2020]000170号,左丽,0731-82038189,公开招标,"5,000,000元",2020年04月16日 09:00,长沙市开福区湘春路53号,湖南省长沙市芙蓉区车站北路459号(烈士公园东门南侧)湖南证券大厦六层,李也 ,左丽、朱明丽 ,073184332328,0731-82038189 
2020年04月15日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）开标室详见当天电子显示屏,长沙理工大学2020年教学科研设备购置（第一批）,湘财采计[2020]017389号,刘香,0731-84867212,公开招标,"3,035,000元",2020年04月15日 09:00,长沙市天心区万家丽南路二段960号,长沙市天心区竹塘西路滑油塘76号西侧一栋3楼（长盛岚庭小区马路对面）,刘老师 ,刘香、熊盼 ,0731-85258555,0731-84867212   84118125 
2020年04月15日 10:00,衡阳市公共资源交易中心二楼第一开标室,南华大学药学院药学学科双一流建设项目,湘财采计[2020]000180号,陈伟华,0734-2880658,公开招标,"920,000元",请在衡阳市公共资源交易网注册并报名，须在报名截止时间前报名确认并成功下载招标文件（以投标截止时间止衡阳市公共资源交易网查询显示的下载文件单位为准），否则，视同报名不成功，其投标无效。,衡阳市常胜西路28号,衡阳市华新区解放大道17号中信大厦705室,陈老师  杨老师 ,陈伟华 ,0734-8281905,07342880658 
2020年04月13日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）。,省教育数据中心扩容和网络环境保障服务,湘财采计[2020]000119号,何绍基,19892853989,公开招标,"1,500,000元",2020年04月13日 09:00,长沙市雨花亭新建西路77号,长沙市芙蓉区东二环一段1139湖南国际商务中心5楼,吴日云 ,何先生、曹女士、鞠女士、贺先生 ,0731-85357697,0731-84447300转5328 
2020年04月14日 14:30,湖南日升工程咨询有限公司会议室 (湘潭市岳塘区宝塔街道聚富路7号),基建处学生公寓7#8#号楼电梯,湘财采计[2020]000106号,文勇,0731-52437558,公开招标,"4,490,000元",2020年04月14日 14:30,湘潭市书院路42号,湘潭市岳塘区宝塔街道聚富路7号,李小波 ,文勇 ,0731-58662838,13347223488 
2020年04月13日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室，详见当天电子显示屏。,湖南省尾矿库环境基本信息采集项目重新立项,湘财采计[2019]016197号,罗芳,15874159869,公开招标,"1,100,000元",2020年04月13日 10:00,长沙市雨花区井湾路889号,长沙高新开发区麓谷大道627号麓谷新长海中心A1栋1102号,袁  浩 ,何芳、高峰、任远 ,0731-85076418,15874159869 
2020年04月14日 10:00,长沙市雨花区万家丽路二段29号湖南省价格信息市场（湖南省公共资源交易中心）开标室公开开标（具体开标室见一楼大厅指示）,湖南省空气质量预报决策支持平台,湘财采计[2020]000183号,莫尧典,0731-85177561,公开招标,"5,542,000元",2020年04月14日 10:00,长沙市万家丽路3段118号,湖南省长沙市蔡锷南路天辰腾达商务大厦,骆女士、荣先生 ,莫尧典  薛  浩 ,0731-82592358,0731-85177561/2   zcb7503@qq.com  
